frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
74,2.466666666666667,450.2948303222656,306.55267333984375,0.0,0.23255813953488372,450.30376586914065,306.5555908203125,0,0.06615548540455052,-0.05916672344356755,0.0,0.0,0.0,0.0,-2.4000000000000083,0
75,2.5,450.2708740234375,306.5420227050781,0.0,0.23255813953488372,450.4282470703125,306.57880859375,0,0.09510460195615167,-0.053767241248792175,0.0,0.0,0.0,0.0,-4.799999999999985,0
76,2.533333333333333,450.3735046386719,306.5797119140625,0.0,0.23255813953488372,450.7126708984375,306.6836181640625,0,0.1612496782642978,-0.029392922571460645,-0.4,0.0,0.0,0.0,-9.600000000000003,0
77,2.566666666666667,450.90911865234375,306.6697082519531,0.0,0.23255813953488372,451.1405090332031,306.8558654785156,0,0.2607469189074578,0.010664592417626295,-0.8,2.945673033248513,1.0702557231104497,3.1340767271491883,-16.80000000000003,0
78,2.6,451.71502685546875,307.073974609375,-2.0,0.23255813953488372,451.7216857910156,307.07378540039065,0,0.3959043044452386,0.06134364401647474,-1.6,3.7987997365552304,1.4224995457848895,4.056400423554152,-24.000000000000057,0
79,2.6333333333333333,452.43402099609375,307.4139099121094,-2.0,0.23255813953488372,452.4148315429687,307.322607421875,0,0.557100990945969,0.119209230408174,-2.8,4.296318586482552,1.5928983466569075,4.582104160681831,-26.4,0
80,2.6666666666666665,453.1767578125,307.6316223144531,-4.0,0.23255813953488372,453.1507202148438,307.5982666015625,0,0.7282378913820224,0.18331601638202244,-4.0,4.480403456577055,1.62528672329225,4.766085612598423,-31.200000000000045,0
81,2.7,453.8392333984375,307.8238220214844,-6.0,0.23255813953488372,453.79169921875,307.8251953125,0,0.8773027760113905,0.2360901352046909,-4.8,4.347664766533487,1.604838526526125,4.634403480317529,-31.200000000000045,0
82,2.7333333333333334,454.58856201171875,308.0480041503906,-6.0,0.23255813953488372,454.35146484375,308.020654296875,0,1.0074808283369663,0.28154571296633435,-6.0,3.953085256177419,1.6027264262354506,4.265631845337892,-26.400000000000034,0
83,2.7666666666666666,454.919921875,308.2086181640625,-6.0,0.23255813953488372,454.83751220703124,308.2239196777344,0,1.120515098867486,0.3288167317708286,-6.8,3.4530966115552184,1.5992176144622157,3.8054399465949205,-23.99999999999996,0
